,Time,Opening Price,High Price,Low Price,Closing Price,Volume
130,2019-08-15,220.86,221.56,211.55,215.64,8231952
131,2019-08-14,231.21,231.5,216.69,219.62,9562591
132,2019-08-13,228.81,236.0,227.55,235.0,4868998
133,2019-08-12,232.99,235.77,228.75,229.01,4663937
134,2019-08-09,236.0535,238.96,233.81,235.01,3898244
135,2019-08-08,234.45,239.8,232.65,238.3,5274349
136,2019-08-07,226.5,233.5688,225.8,233.42,4776500
137,2019-08-06,231.88,232.5,225.75,230.75,5564200
138,2019-08-05,229.6,231.3673,225.775,228.32,7028279
139,2019-08-02,231.35,236.27,229.23,234.34,6136481
140,2019-08-01,242.65,244.51,231.77,233.85,8259516
141,2019-07-31,243.0,246.68,236.6501,241.61,9178208
142,2019-07-30,232.9,243.36,232.18,242.26,8109014
143,2019-07-29,227.09,235.94,226.0325,235.77,9273331
144,2019-07-26,226.92,230.26,222.25,228.04,10027697
145,2019-07-25,233.5,234.5,225.5501,228.82,22418252
146,2019-07-24,259.17,266.07,258.1601,264.88,11072835
147,2019-07-23,256.71,260.48,254.5,260.17,5023121
148,2019-07-22,258.75,262.155,254.1911,255.68,6846273
149,2019-07-19,255.69,259.96,254.62,258.18,7048410
150,2019-07-18,255.05,255.75,251.885,253.54,4764483
151,2019-07-17,255.67,258.31,253.35,254.86,9764727
152,2019-07-16,249.3,253.53,247.9325,252.38,8148989
153,2019-07-15,248.0,254.42,244.86,253.5,11000092
154,2019-07-12,239.75,245.38,239.71,245.08,9200521
155,2019-07-11,238.14,241.5,235.8,238.6,7514430
156,2019-07-10,234.15,238.94,233.14,238.92,9145736
157,2019-07-09,228.97,231.0,227.28,230.06,6190835
158,2019-07-08,231.24,232.25,228.66,230.34,5880542
159,2019-07-05,234.57,235.45,230.8,233.1,7065738
160,2019-07-03,239.39,241.57,234.51,234.9,14201148
161,2019-07-02,228.89,229.15,222.22,224.55,9259027
162,2019-07-01,230.21,233.0995,226.28,227.17,8237964
163,2019-06-28,220.99,225.17,220.8,223.46,6851384
164,2019-06-27,219.45,222.9,217.35,222.84,6339710
165,2019-06-26,220.31,227.23,218.1,219.27,8507208
166,2019-06-25,224.39,225.34,219.49,219.76,6182071
167,2019-06-24,223.24,225.86,221.02,223.64,5750771
168,2019-06-21,216.22,222.18,215.5,221.86,8202078
169,2019-06-20,223.0,226.9,216.35,219.62,11863462
170,2019-06-19,225.11,227.77,221.06,226.43,6575135
171,2019-06-18,228.72,234.74,222.56,224.74,12715788
172,2019-06-17,215.48,227.0,214.27,225.03,12316803
173,2019-06-14,211.25,216.65,210.4,214.92,7433402
174,2019-06-13,210.38,214.9,207.5103,213.91,8168260
175,2019-06-12,222.95,223.38,209.0,209.26,15197544
176,2019-06-11,219.1435,220.9,213.5,217.1,11653537
177,2019-06-10,210.25,216.94,209.01,212.88,10585039
178,2019-06-07,205.0,210.8438,203.499,204.5,16003527
179,2019-06-06,204.44,211.0,201.8,205.95,20242151
180,2019-06-05,198.68,201.2782,191.8486,196.59,13510756
181,2019-06-04,181.1,193.98,179.61,193.6,13807522
182,2019-06-03,185.51,186.68,176.9919,178.97,13064410
183,2019-05-31,185.1,189.9204,184.1,185.16,10406732
184,2019-05-30,188.75,192.255,187.02,188.22,7926475
185,2019-05-29,187.1,192.39,185.0401,189.86,11968638
186,2019-05-28,191.2,195.0,187.85,188.7,10312901
187,2019-05-24,199.83,199.98,188.7505,190.63,14136572
188,2019-05-23,194.34,199.465,186.22,195.49,26547142
189,2019-05-22,199.1,203.94,191.78,192.73,18685187
190,2019-05-21,197.76,207.4,196.04,205.08,18003899
191,2019-05-20,202.8,206.0,195.25,205.36,20526195
192,2019-05-17,221.96,222.24,208.92,211.03,17786666
193,2019-05-16,229.49,231.0,226.5,228.33,7483273
194,2019-05-15,229.32,232.44,225.25,231.95,7295976
195,2019-05-14,229.3,234.5,228.0,232.31,7252412
196,2019-05-13,232.01,232.47,224.5,227.01,10834796
197,2019-05-10,239.75,241.99,236.02,239.52,7008336
198,2019-05-09,242.0,243.68,236.9434,241.98,6711382
199,2019-05-08,246.94,250.599,244.2,244.84,6176440
200,2019-05-07,256.8,257.21,245.1,247.06,10131408
201,2019-05-06,250.02,258.3499,248.5,255.34,10833943
202,2019-05-03,243.86,256.61,243.49,255.03,23706771
203,2019-05-02,245.52,247.13,237.72,244.1,18159339
204,2019-05-01,238.85,240.0,231.5,234.01,10704354
