,Time,Opening Price,High Price,Low Price,Closing Price,Volume
86,2019-10-17,196.0,197.8143,192.1,194.29,6607924
87,2019-10-16,195.0,199.22,193.75,194.21,10818828
88,2019-10-15,190.16,199.29,189.6,196.37,16699633
89,2019-10-14,185.64,187.37,184.385,186.53,5258394
90,2019-10-11,186.41,189.34,185.65,185.99,11271668
91,2019-10-10,180.62,185.08,180.41,183.03,8187889
92,2019-10-09,180.32,182.7,179.1601,180.71,7697082
93,2019-10-08,180.64,180.64,176.5,177.23,11233566
94,2019-10-07,184.58,188.34,184.23,184.33,12207839
95,2019-10-04,181.4,183.15,178.78,181.97,6699005
96,2019-10-03,173.22,181.56,172.0,181.31,11568265
97,2019-10-02,173.12,173.6,170.13,173.04,7391544
98,2019-10-01,175.0,181.0,173.81,174.0,9189150
99,2019-09-30,172.8,174.48,171.5401,174.07,4829977
100,2019-09-27,175.66,177.7,169.32,171.76,9148974
101,2019-09-26,177.84,178.19,175.29,177.34,5945648
102,2019-09-25,172.51,179.02,170.71,178.23,7827672
103,2019-09-24,176.1,177.29,171.1,172.53,8031045
104,2019-09-23,172.7,176.67,172.55,174.84,6395647
105,2019-09-20,176.9,177.85,172.28,172.69,8931295
106,2019-09-19,180.22,180.96,176.5101,176.94,6408569
107,2019-09-18,180.79,181.42,176.5,179.98,6600942
108,2019-09-17,180.48,181.2356,178.61,181.07,5711828
109,2019-09-16,178.92,181.6,178.5,180.21,5795796
110,2019-09-13,181.59,183.08,180.18,181.94,8114787
111,2019-09-12,186.2,188.4,183.95,184.27,8196025
112,2019-09-11,183.77,186.27,182.6006,184.33,9037782
113,2019-09-10,179.18,184.25,178.79,183.18,8820305
114,2019-09-09,179.9,183.98,179.84,180.5,10438133
115,2019-09-06,178.8,181.09,177.12,178.65,9424419
116,2019-09-05,172.865,179.99,172.8,179.74,17412125
117,2019-09-04,166.61,169.06,166.61,168.76,5703009
118,2019-09-03,164.58,165.91,163.252,164.17,7412770
119,2019-08-30,168.86,170.86,166.78,167.51,7272712
120,2019-08-29,164.9,168.3,164.76,167.0,8959326
121,2019-08-28,160.58,163.34,159.0,161.22,6376719
122,2019-08-27,166.99,167.1,160.62,161.8,7288739
123,2019-08-26,165.61,166.58,163.91,165.45,7964854
124,2019-08-23,168.4,170.59,161.64,162.44,14237433
125,2019-08-22,171.62,173.33,169.9045,171.48,7593918
126,2019-08-21,170.53,173.45,169.66,171.23,10697773
127,2019-08-20,170.56,170.58,167.02,167.87,11588040
128,2019-08-19,164.12,171.42,163.47,170.78,20408061
129,2019-08-16,159.35,161.54,156.88,159.56,25384628
130,2019-08-15,150.83,151.63,147.394,148.77,13861551
131,2019-08-14,152.5035,152.95,148.3111,150.07,10497033
132,2019-08-13,151.39,157.9,149.8201,156.05,9012811
133,2019-08-12,152.08,154.18,150.57,151.45,6980012
134,2019-08-09,156.61,156.75,152.15,154.18,8545418
135,2019-08-08,156.21,158.31,153.9,158.26,7732472
136,2019-08-07,149.9,154.37,149.2,153.89,9314045
137,2019-08-06,153.8,155.63,150.43,152.35,9031767
138,2019-08-05,153.8,153.85,148.9,150.79,14728936
139,2019-08-02,161.19,163.98,159.28,161.19,10708732
140,2019-08-01,169.14,172.78,162.8204,164.92,10530314
141,2019-07-31,174.18,174.215,167.02,168.72,8985391
142,2019-07-30,172.95,175.94,172.37,175.45,4944261
143,2019-07-29,174.78,175.4697,171.27,174.82,6204049
144,2019-07-26,174.47,176.95,174.47,175.07,6853997
145,2019-07-25,176.99,177.5,172.44,173.38,9817453
146,2019-07-24,177.4,178.89,174.34,178.66,9155937
147,2019-07-23,172.9,175.74,172.27,175.66,10704414
148,2019-07-22,169.3,171.84,169.0,171.32,7898498
149,2019-07-19,171.72,171.98,168.2,168.44,8622395
150,2019-07-18,170.125,172.71,167.85,170.18,11079474
151,2019-07-17,167.15,169.99,165.974,169.71,8705107
152,2019-07-16,166.67,168.17,164.8425,167.08,8536098
153,2019-07-15,168.46,169.1058,166.13,167.27,7245993
154,2019-07-12,167.4,170.47,167.4,167.61,12659816
155,2019-07-11,163.0,167.92,161.5,166.28,17063964
156,2019-07-10,159.06,162.3689,158.5,160.06,11301899
157,2019-07-09,155.51,158.44,155.0,157.31,8571512
158,2019-07-08,157.83,158.59,156.0,157.21,8244669
159,2019-07-05,160.4,160.58,157.68,160.23,9913847
160,2019-07-03,163.17,163.4,160.3415,162.75,6165856
161,2019-07-02,165.5,166.3493,161.7,162.23,10005688
162,2019-07-01,172.57,173.95,164.66,166.17,17788327
163,2019-06-28,165.0,165.37,162.35,164.23,9941659
164,2019-06-27,162.71,164.0,161.26,163.23,11136038
165,2019-06-26,156.61,161.72,156.09,159.26,14601825
166,2019-06-25,152.86,155.88,151.37,151.48,7796661
167,2019-06-24,152.62,153.85,150.72,152.66,7073718
168,2019-06-21,153.5,155.48,151.5,151.76,10860672
169,2019-06-20,156.77,157.33,153.5178,154.1,8754182
170,2019-06-19,154.3,154.7568,152.0738,153.12,8291099
171,2019-06-18,147.5,155.11,147.06,152.88,14547950
172,2019-06-17,144.57,146.5206,143.65,145.03,6901037
173,2019-06-14,144.51,145.49,142.836,144.64,9860656
174,2019-06-13,147.09,149.0,146.38,148.26,7702027
175,2019-06-12,149.0,149.25,145.59,146.2,8972298
176,2019-06-11,150.84,152.36,149.16,150.75,9596751
177,2019-06-10,147.76,151.19,147.76,148.43,10069522
178,2019-06-07,144.02,146.88,143.25,145.5,8721438
179,2019-06-06,141.45,144.77,141.35,143.78,10203462
180,2019-06-05,145.97,146.19,139.82,141.28,12790385
181,2019-06-04,136.36,143.21,135.4675,143.0,16045885
182,2019-06-03,135.91,137.47,132.6,133.78,11966080
183,2019-05-31,137.14,138.4491,135.39,135.46,9742992
184,2019-05-30,140.31,141.7499,137.57,139.11,9857490
185,2019-05-29,141.41,142.82,138.94,140.34,13995037
186,2019-05-28,145.86,147.18,143.25,143.33,10708852
187,2019-05-24,148.08,149.5,144.88,145.15,8939632
188,2019-05-23,149.69,149.69,144.9112,147.32,14796109
189,2019-05-22,153.5,154.55,151.76,152.2,8146740
190,2019-05-21,154.2,155.7,152.64,155.06,9046247
191,2019-05-20,152.55,154.77,150.75,151.75,14301634
192,2019-05-17,158.5,163.71,154.94,156.53,25551698
193,2019-05-16,159.36,161.905,157.65,160.19,19527204
194,2019-05-15,159.8,161.05,157.41,159.58,12558001
195,2019-05-14,160.05,163.46,158.4904,162.04,13121972
196,2019-05-13,163.5,164.43,157.81,158.45,16422819
197,2019-05-10,168.95,171.59,164.0,168.82,14237451
198,2019-05-09,171.14,171.53,165.4,170.19,16506164
199,2019-05-08,172.0,177.15,171.52,173.92,10479154
200,2019-05-07,177.9,177.9,171.17,173.11,13880458
201,2019-05-06,175.5,180.34,174.0,179.85,10554445
202,2019-05-03,183.53,183.93,180.53,183.01,8420587
203,2019-05-02,180.86,184.87,179.115,183.19,9867135
204,2019-05-01,183.11,184.81,180.46,180.47,8857031
205,2019-04-30,178.03,182.03,177.26,181.0,9073040
206,2019-04-29,178.41,180.45,175.5,179.33,9797983
207,2019-04-26,180.71,180.8876,173.3,178.09,21724729
208,2019-04-25,189.55,190.45,183.7,186.91,12482437
209,2019-04-24,191.09,192.81,188.64,191.17,7955120
210,2019-04-23,189.0,191.93,188.61,190.67,8671381
211,2019-04-22,185.35,189.1,184.08,188.47,6998388
212,2019-04-18,187.56,188.93,185.18,186.3,9524704
213,2019-04-17,189.62,190.46,186.39,187.29,8775068
214,2019-04-16,186.28,188.97,184.9641,188.21,9874091
215,2019-04-15,189.7,189.9,183.1,184.7,11002345
216,2019-04-12,193.1,193.26,189.66,190.01,11792664
217,2019-04-11,192.2,193.47,189.55,191.54,9365037
218,2019-04-10,189.23,193.14,189.05,192.1,11119307
219,2019-04-09,190.44,190.89,187.56,189.26,10999320
220,2019-04-08,189.72,192.8,188.75,191.79,10604848
221,2019-04-05,190.0,191.65,188.53,190.95,12043649
222,2019-04-04,188.0,189.97,185.73,188.26,11434419
223,2019-04-03,185.0,191.0,184.8,188.62,19719468
224,2019-04-02,183.25,184.7887,181.52,183.0,11022996
225,2019-04-01,183.26,183.5,180.3745,182.28,12095612
226,2019-03-29,179.94,180.54,177.91,179.56,11422379
227,2019-03-28,177.55,179.9,175.11,177.25,12006602
228,2019-03-27,177.9,179.77,173.7,176.5,11859294
229,2019-03-26,179.489,181.75,174.5969,176.87,17587678
230,2019-03-25,175.86,178.45,171.11,173.78,13130301
231,2019-03-22,182.84,184.7997,176.94,177.5,18691087
232,2019-03-21,175.33,185.0,175.13,183.94,20607767
233,2019-03-20,176.88,179.03,173.0,174.4,17978715
234,2019-03-19,172.76,177.5,172.08,175.71,21374310
235,2019-03-18,171.08,173.25,167.8577,168.95,12174829
236,2019-03-15,167.3,171.53,167.16,169.81,16536482
237,2019-03-14,168.99,169.47,165.25,165.56,12984630
238,2019-03-13,164.03,169.8,163.73,168.62,19222518
239,2019-03-12,162.26,164.39,159.19,162.52,14489368
240,2019-03-11,151.59,162.06,149.69,161.14,21493150
241,2019-03-08,145.66,151.07,144.8,150.64,10560371
242,2019-03-07,151.1,151.49,147.4001,149.26,11252633
243,2019-03-06,156.16,156.5,151.94,152.05,10088149
244,2019-03-05,156.15,158.0571,153.96,156.52,9073119
245,2019-03-04,158.0,158.92,154.5,156.78,10249750
246,2019-03-01,156.27,158.1489,153.92,156.45,8929678
247,2019-02-28,155.0,155.9,153.36,154.26,8123565
248,2019-02-27,156.52,157.59,153.11,155.41,12506381
249,2019-02-26,158.5,160.76,155.75,157.1,12211571
250,2019-02-25,162.56,165.28,158.34,158.69,16400481
251,2019-02-22,157.86,159.95,157.31,159.19,10043531
252,2019-02-21,159.06,160.05,155.18,155.77,11213668
