,Time,Opening Price,High Price,Low Price,Closing Price,Volume
55,2019-12-02,0.47,0.47,0.4555,0.4589,1971426
56,2019-11-29,0.47,0.4709,0.455,0.455,1881630
57,2019-11-27,0.4632,0.4699,0.45,0.4573,1920333
58,2019-11-26,0.4429,0.469,0.4429,0.469,1565714
59,2019-11-25,0.42,0.465,0.42,0.46,1831141
60,2019-11-22,0.46,0.471,0.44,0.4553,3489229
61,2019-11-21,0.435,0.4593,0.431,0.4585,1827399
62,2019-11-20,0.4377,0.4433,0.425,0.4304,1531291
63,2019-11-19,0.44,0.4434,0.42,0.4304,2806560
64,2019-11-18,0.455,0.455,0.4446,0.4498,1952254
65,2019-11-15,0.46,0.4679,0.4458,0.4501,3675457
66,2019-11-14,0.46,0.47,0.4443,0.4604,4074215
67,2019-11-13,0.47,0.473,0.45,0.4578,2553889
68,2019-11-12,0.46,0.4677,0.45,0.4635,2577356
69,2019-11-11,0.465,0.4674,0.4526,0.4602,931274
70,2019-11-08,0.4522,0.4674,0.4522,0.4646,892623
71,2019-11-07,0.455,0.4673,0.45,0.456,1626518
72,2019-11-06,0.4573,0.4649,0.44,0.4542,2922428
73,2019-11-05,0.45,0.4747,0.449,0.4635,2468302
74,2019-11-04,0.4416,0.456,0.4353,0.4499,2130613
75,2019-11-01,0.41,0.4397,0.404,0.4348,4837043
76,2019-10-31,0.4579,0.4599,0.4075,0.4176,6512858
77,2019-10-30,0.4488,0.4555,0.4401,0.4539,8565022
78,2019-10-29,0.459,0.46,0.4431,0.4512,15639282
79,2019-10-28,0.4523,0.4614,0.45,0.4594,1251785
80,2019-10-25,0.4531,0.4614,0.4477,0.455,1177300
81,2019-10-24,0.464,0.468,0.444,0.451,3660406
82,2019-10-23,0.456,0.4646,0.447,0.462,1375610
83,2019-10-22,0.4484,0.4561,0.441,0.453,1454899
84,2019-10-21,0.47,0.47,0.435,0.45,5425066
85,2019-10-18,0.4581,0.4723,0.4561,0.4636,1738233
86,2019-10-17,0.4835,0.4835,0.45,0.4591,17142024
87,2019-10-16,0.49,0.49,0.4565,0.466,7012875
88,2019-10-15,0.475,0.4867,0.475,0.4835,2265302
89,2019-10-14,0.4749,0.49,0.455,0.4713,11206173
90,2019-10-11,0.4465,0.48,0.4372,0.4745,1369721
91,2019-10-10,0.42,0.4511,0.42,0.4372,1987428
92,2019-10-09,0.42,0.4283,0.414,0.425,1436364
93,2019-10-08,0.4414,0.5,0.405,0.4231,29043038
94,2019-10-07,0.45,0.45,0.4282,0.4368,1920428
95,2019-10-04,0.46,0.4605,0.442,0.4441,1839965
96,2019-10-03,0.468,0.4718,0.455,0.4605,9170785
97,2019-10-02,0.4553,0.48,0.4553,0.4681,5365261
98,2019-10-01,0.47,0.4797,0.4547,0.4553,4127734
99,2019-09-30,0.4967,0.4967,0.47,0.4752,2243168
100,2019-09-27,0.48,0.495,0.4695,0.4925,1780201
101,2019-09-26,0.5111,0.52,0.47,0.4744,3783574
102,2019-09-25,0.5175,0.5205,0.495,0.5141,2761581
103,2019-09-24,0.49,0.5233,0.4855,0.5092,4954045
104,2019-09-23,0.46,0.491,0.4519,0.4864,3500421
105,2019-09-20,0.45,0.4675,0.4436,0.4636,2645750
106,2019-09-19,0.45,0.4582,0.444,0.4481,3238889
107,2019-09-18,0.4601,0.47,0.4432,0.4444,7377885
108,2019-09-17,0.4647,0.4789,0.445,0.46,3036744
109,2019-09-16,0.4754,0.48,0.4517,0.4627,3985557
110,2019-09-13,0.47,0.489,0.4671,0.4774,2683047
111,2019-09-12,0.4842,0.4842,0.462,0.4671,3743798
112,2019-09-11,0.48,0.4947,0.4692,0.479,3232559
113,2019-09-10,0.4689,0.4868,0.455,0.4799,4036552
114,2019-09-09,0.45,0.47,0.4397,0.455,4658592
115,2019-09-06,0.4162,0.4439,0.41,0.4413,2663325
116,2019-09-05,0.4289,0.4349,0.4125,0.4216,4831198
117,2019-09-04,0.4175,0.433,0.4143,0.4275,3239417
118,2019-09-03,0.425,0.4454,0.4009,0.4099,6070462
119,2019-08-30,0.45,0.4557,0.43,0.4404,5068365
120,2019-08-29,0.4592,0.4615,0.4431,0.444,2665727
121,2019-08-28,0.46,0.465,0.4433,0.4576,3984285
122,2019-08-27,0.4746,0.4774,0.4441,0.4501,3098460
123,2019-08-26,0.4868,0.4948,0.4654,0.4704,4167347
124,2019-08-23,0.5,0.5076,0.475,0.4823,3350845
125,2019-08-22,0.49,0.5461,0.4882,0.501,7380596
126,2019-08-21,0.45,0.49,0.4359,0.4819,4147856
127,2019-08-20,0.45,0.45,0.425,0.4336,34253165
128,2019-08-19,0.4842,0.4855,0.4346,0.4457,5372212
129,2019-08-16,0.47,0.4803,0.4655,0.47,4960730
130,2019-08-15,0.4883,0.4893,0.4645,0.4687,2680659
131,2019-08-14,0.475,0.5,0.457,0.4893,9319639
132,2019-08-13,0.4799,0.4925,0.4579,0.4731,7720443
133,2019-08-12,0.4629,0.4721,0.44,0.4653,13118271
134,2019-08-09,0.5,0.5,0.4546,0.46,6364165
135,2019-08-08,0.51,0.51,0.49,0.4981,4694826
136,2019-08-07,0.51,0.5175,0.496,0.4997,5041223
137,2019-08-06,0.5406,0.558,0.5,0.5072,7808161
138,2019-08-05,0.5229,0.5761,0.4974,0.5466,9246778
139,2019-08-02,0.523,0.53,0.4929,0.5255,9438015
140,2019-08-01,0.5618,0.59,0.5059,0.5292,16686989
141,2019-07-31,0.598,0.6,0.5693,0.5803,9142000
142,2019-07-30,0.571,0.595,0.557,0.5805,10434529
143,2019-07-29,0.5785,0.58,0.56,0.5623,5284958
144,2019-07-26,0.58,0.58,0.5518,0.5672,9397235
145,2019-07-25,0.5919,0.5994,0.5655,0.5716,8589562
146,2019-07-24,0.6,0.6066,0.5719,0.5919,5300531
147,2019-07-23,0.6135,0.6177,0.5846,0.5947,6910794
148,2019-07-22,0.6368,0.6368,0.6,0.6107,8828524
149,2019-07-19,0.6499,0.6519,0.61,0.6261,9486227
150,2019-07-18,0.6532,0.6597,0.6,0.6235,13313597
151,2019-07-17,0.635,0.66,0.612,0.6358,20007549
152,2019-07-16,0.7201,0.7405,0.58,0.6,50202278
153,2019-07-15,1.09,1.1,1.07,1.07,3206186
154,2019-07-12,1.09,1.1,1.07,1.08,2715620
155,2019-07-11,1.07,1.11,1.06,1.08,6667211
156,2019-07-10,1.11,1.115,1.05,1.08,9265492
157,2019-07-09,1.16,1.17,1.07,1.09,22234439
158,2019-07-08,1.22,1.22,1.15,1.16,5770917
159,2019-07-05,1.24,1.26,1.22,1.23,1512684
160,2019-07-03,1.23,1.275,1.23,1.26,4588122
161,2019-07-02,1.25,1.26,1.22,1.23,3352071
162,2019-07-01,1.25,1.26,1.23,1.25,1384328
